A,density,avg_vertex_zeta,graph_zeta
31680,0.39285714285714285,0.4330204372296872,7.855789697367483e-08
33264,0.26785714285714285,0.2588494572434898,2.3096021710260407e-08
34776,0.2857142857142857,0.3400624019075214,2.4145840878908606e-08
36225,0.30357142857142855,0.23357839161032637,2.4562419513863733e-09
37650,0.25,0.2575197987901792,1.7289239741505669e-09
39744,0.26785714285714285,0.32086597333609285,3.942178102678956e-09
40986,0.2857142857142857,0.3033328293966989,2.032685584193837e-09
43200,0.4107142857142857,0.4471618513711013,1.0712440496410208e-07
44352,0.32142857142857145,0.32482167946571205,3.0794695613680536e-08
46200,0.39285714285714285,0.34910408687311945,2.9701674010108543e-08
48192,0.23214285714285715,0.22306836480749523,1.7704181495301804e-10
49896,0.32142857142857145,0.32655779057682316,3.464403256539061e-08
51975,0.3392857142857143,0.2445028536217449,3.5241732345978404e-09
54216,0.26785714285714285,0.31891222002635045,5.3776451291979234e-09
56475,0.17857142857142858,0.18014615781259802,5.470423511960779e-10
57960,0.4107142857142857,0.4413755332206527,1.0060767032878587e-06
60480,0.44642857142857145,0.45896309360712617,1.0498191686482004e-06
63503,0.017857142857142856,0.0778338569223986,1.1250456930557959e-14
66264,0.17857142857142858,0.19418578904991948,2.434324955603998e-10
69276,0.16071428571428573,0.20108661014911014,2.544976089949634e-10
72288,0.3392857142857143,0.33800944224857266,7.1701935055972304e-09
74547,0.14285714285714285,0.1637103713768116,2.888383614315291e-11
79065,0.21428571428571427,0.21104677893061047,5.361015041721564e-09
81324,0.375,0.3944330533596838,8.066467693796886e-09
84336,0.23214285714285715,0.21790532132923435,2.168762233174471e-09
88550,0.23214285714285715,0.2594196900668929,3.514086945640414e-10
92368,0.14285714285714285,0.1586806557639891,4.189261053415036e-12
95634,0.32142857142857145,0.3485709246347941,3.320053120849934e-08
100400,0.26785714285714285,0.2882828892792661,1.1383861558193034e-10
103914,0.25,0.29399643759018756,5.153576582148011e-09
108675,0.30357142857142855,0.24746728049921524,7.368725854159121e-09
112950,0.3392857142857143,0.36029231562519604,1.4004284190619593e-07
115920,0.4642857142857143,0.4570005332206527,2.0121534065757174e-06
121440,0.21428571428571427,0.1700085899787095,1.1153281669101985e-08
126504,0.2857142857142857,0.31722139877031186,8.783487044356607e-08
131775,0.21428571428571427,0.18466052051310203,3.3092685442725695e-10
138050,0.19642857142857142,0.2353709574610843,7.82640482125771e-11
141680,0.19642857142857142,0.22495788451133736,1.1245078226049327e-09
144900,0.5178571428571429,0.5335630332206527,2.5151917582196463e-06
151200,0.5178571428571429,0.49646309360712615,2.624547921620501e-06
158130,0.4107142857142857,0.42209355786122094,1.3724198506807203e-06
165600,0.35714285714285715,0.37396481893493844,4.1064355236239124e-07
170016,0.26785714285714285,0.23096097093109047,4.372086414287977e-09
176704,0.17857142857142858,0.16592899317537,8.014238536967896e-12
182160,0.32142857142857145,0.35635118257130205,4.517079075986303e-07
191268,0.32142857142857145,0.35497717463479417,1.3280212483399735e-07
200800,0.30357142857142855,0.29175511150148836,2.2767723116386067e-10
207075,0.17857142857142858,0.14769929333448356,7.428970201428216e-11
216864,0.35714285714285715,0.36578722002635045,2.1510580516791694e-08
225900,0.39285714285714285,0.42669856562519604,5.601713676247837e-07
231924,0.21428571428571427,0.21766857890499192,5.964096141229796e-09
242880,0.21428571428571427,0.19084192331204283,2.230656333820397e-08
254012,0.125,0.15860174162257495,1.152046789689135e-11
265056,0.25,0.20981078904991948,9.73729982241599e-10
277200,0.5714285714285714,0.551071679465712,4.811671189637584e-06
285120,0.5178571428571429,0.5441315483407982,7.070210727630736e-07
298188,0.30357142857142855,0.33382699275362315,2.957704821058858e-08
311742,0.26785714285714285,0.32177421536796535,1.546072974644403e-08
325296,0.42857142857142855,0.4178705533596838,3.2265870775187544e-08
337344,0.26785714285714285,0.24915532132923435,8.675048932697884e-09
347760,0.48214285714285715,0.4847783109984305,6.036460219727152e-06
363699,0.19642857142857142,0.21128393308080806,9.864267676767675e-10
379512,0.30357142857142855,0.3449991765480896,2.635046113306983e-07
395325,0.26785714285714285,0.23604677893061046,2.6805075208607815e-08
404800,0.17857142857142858,0.19251740832086117,4.5898278473670707e-10
415800,0.5357142857142857,0.5632244572434898,7.217506784456377e-06
434700,0.5357142857142857,0.5613408109984305,7.54557527465894e-06
453600,0.625,0.5797964269404595,7.873643764861501e-06
467613,0.17857142857142858,0.20255377435064936,1.81180426716141e-10
496800,0.375,0.4017425967127162,1.2319306570871738e-06
508275,0.25,0.2357017133681536,4.9233811607647006e-09
527100,0.44642857142857145,0.43312312435953737,3.388690989335111e-07
554208,0.23214285714285715,0.21931577681577683,2.0359808719597073e-09
571527,0.14285714285714285,0.15836185515873016,2.2144274376417235e-10
596376,0.30357142857142855,0.34163949275362315,5.915409642117716e-08
623484,0.26785714285714285,0.32818046536796536,6.184291898577612e-08
646576,0.19642857142857142,0.2158235129068462,2.052737916173368e-10
677700,0.4107142857142857,0.4544763434029738,1.6805141028743512e-06
702800,0.39285714285714285,0.3969785414531791,5.578092163514587e-09
727398,0.39285714285714285,0.4225678661616161,2.5252525252525247e-07
765072,0.375,0.37841467463479417,5.312084993359894e-07
795168,0.375,0.3607367149758454,7.887212856156955e-08
831312,0.30357142857142855,0.3238401875901876,8.245722531436817e-08
865950,0.25,0.27460054413179413,3.9765251405463035e-08
903600,0.44642857142857145,0.45013606562519604,2.240685470499135e-06
948780,0.44642857142857145,0.4662775856389987,1.6469038208168645e-05
993600,0.4107142857142857,0.4642425967127163,2.4638613141743476e-06
1016550,0.4642857142857143,0.4714034267363072,1.2603855771557633e-06
1054200,0.44642857142857145,0.43572729102620406,6.777381978670222e-07
1104400,0.26785714285714285,0.3009091519055287,1.2522247714012336e-09
1147608,0.42857142857142855,0.44612300796812754,7.968127490039841e-07
1192752,0.35714285714285715,0.35726449275362315,1.1830819284235432e-07
1242450,0.44642857142857145,0.4739286792615597,1.540471260968155e-06
1293152,0.23214285714285715,0.21929573512906847,4.105475832346736e-10
1325280,0.3392857142857143,0.27742983666896714,1.2171624778019993e-07
1391544,0.32142857142857145,0.33994867149758456,9.661835748792269e-07
1449525,0.26785714285714285,0.20359991445249598,3.640195398699826e-09
1524072,0.17857142857142858,0.2112665343915344,5.598947397889195e-09
1587575,0.07142857142857142,0.12053226962081129,7.031535581598723e-12
1639440,0.44642857142857145,0.46746229368241315,4.065371168387673e-06
1714581,0.14285714285714285,0.17225074404761903,6.64328231292517e-10
1807200,0.48214285714285715,0.48138606562519604,4.48137094099827e-06
1863675,0.26785714285714285,0.25085322851966874,1.805239758947057e-08
1939728,0.3392857142857143,0.3374705387205387,4.988153136301284e-08
2033100,0.5178571428571429,0.5378096767363072,5.041542308623053e-06
2125200,0.5357142857142857,0.4738776375977571,1.366277004464993e-06
2236410,0.5,0.5350397903726708,2.7728482697426794e-06
2318400,0.6428571428571429,0.6507505332206527,4.024306813151434e-05
2424660,0.44642857142857145,0.4526883417508417,1.5587978550941515e-06
2550240,0.6071428571428571,0.6018868968570164,4.4267374944665784e-05
2650560,0.3392857142857143,0.2982631700023004,2.4343249556039986e-07
2811200,0.42857142857142855,0.4073952081198458,2.2312368654058347e-08
2899050,0.4642857142857143,0.40719982890499196,9.318900220671555e-07
3048144,0.21428571428571427,0.2164748677248677,1.119789479577839e-08
3175150,0.19642857142857142,0.24106453924162258,1.800073108889273e-09
3278880,0.48214285714285715,0.49871229368241315,8.130742336775346e-06
3477600,0.625,0.6160283109984305,6.036460219727152e-05
3586275,0.4642857142857143,0.34595212898406374,2.43167953187251e-07
3740904,0.375,0.41932629870129867,3.7105751391465674e-07
3896775,0.17857142857142858,0.20257541937229437,3.774592223252937e-08
4066200,0.5178571428571429,0.5456221767363072,1.0083084617246107e-05
